	userId	Reputation	Views	UpVotes	DownVotes	postId	Score	ViewCount	CommentCount	Outlier
18156	4496	1015	190	2	0	11405	6	722	0	Views
18157	4496	1015	190	2	0	11419	1	635	0	Views
18158	4496	1015	190	2	0	11440	1	585	0	Views
18159	4496	1015	190	2	0	11443	0	343	1	Views
18160	4496	1015	190	2	0	11508	3	211	3	Views
18161	4496	1015	190	2	0	11590	2	1305	6	Views
18162	4496	1015	190	2	0	11595	5	3555	5	Views
18163	4496	1015	190	2	0	11632	4	1632	0	Views
18164	4496	1015	190	2	0	11676	6	2294	3	Views
18165	4496	1015	190	2	0	11680	3	607	4	Views
18166	4496	1015	190	2	0	11703	1	1285	1	Views
18167	4496	1015	190	2	0	11752	0	521	2	Views
18168	4496	1015	190	2	0	11821	4	862	0	Views
18169	4496	1015	190	2	0	11829	2	1280	2	Views
18170	4496	1015	190	2	0	11868	2	293	1	Views
18171	4496	1015	190	2	0	11876	3	2367	0	Views
18172	4496	1015	190	2	0	11896	2	299	0	Views
18173	4496	1015	190	2	0	11953	0	127	2	Views
18174	4496	1015	190	2	0	11983	0	92	1	Views
18175	4496	1015	190	2	0	12262	41	7350	0	Views
18177	4496	1015	190	2	0	12265	2	404	0	Views
18178	4496	1015	190	2	0	12313	9	4127	2	Views
18179	4496	1015	190	2	0	12395	5	1605	0	Views
18180	4496	1015	190	2	0	12438	3	858	3	Views
18181	4496	1015	190	2	0	12825	1	167	0	Views
18182	4496	1015	190	2	0	12826	4	519	14	Views
18183	4496	1015	190	2	0	12864	0	315	0	Views
18184	4496	1015	190	2	0	12945	4	664	5	Views
18185	4496	1015	190	2	0	13301	0	475	9	Views
18186	4496	1015	190	2	0	13331	4	1246	0	Views
18187	4496	1015	190	2	0	13582	1	4423	1	Views
18188	4496	1015	190	2	0	14746	0	326	2	Views
18189	4496	1015	190	2	0	14850	1	711	0	Views
18742	4598	8814	516	314	11	20581	5	255	4	Views
18778	4598	8814	516	314	11	35395	2	366	0	Views
18788	4598	8814	516	314	11	43400	2	130	0	Views
19244	4856	17791	5927	2122	412	13054	6	619	4	Views
19271	4856	17791	5927	2122	412	14420	2	97	0	Views
19301	4856	17791	5927	2122	412	20631	2	275	0	Views
19307	4856	17791	5927	2122	412	21288	3	208	5	Views
19319	4856	17791	5927	2122	412	22819	3	240	2	Views
19325	4856	17791	5927	2122	412	24324	16	517	12	Views
19457	4856	17791	5927	2122	412	32030	12	266	2	Views
19490	4856	17791	5927	2122	412	47864	7	353	11	Views
19502	4862	3544	460	358	3	11807	8	796	5	Views
19526	4862	3544	460	358	3	37924	9	461	0	Views
19937	5191	583	286	57	0	14399	4	709	2	Views
19941	5191	583	286	57	0	20029	3	994	1	Views
19945	5191	583	286	57	0	25271	5	473	2	Views
19947	5191	583	286	57	0	26817	3	114	3	Views
19948	5191	583	286	57	0	27695	2	256	0	Views
19949	5191	583	286	57	0	28094	1	2240	3	Views
19950	5191	583	286	57	0	33981	5	421	5	Views
19954	5191	583	286	57	0	47945	3	210	0	Views
20049	5256	1621	249	174	1	15131	12	360	0	Views
20051	5256	1621	249	174	1	17039	10	2545	0	Views
20055	5256	1621	249	174	1	17413	10	294	3	Views
20207	5339	1863	238	224	13	29362	1	170	1	Views
20208	5339	1863	238	224	13	29669	6	370	6	Views
20211	5339	1863	238	224	13	33101	3	159	6	Views
20213	5339	1863	238	224	13	34165	8	546	0	Views
20216	5339	1863	238	224	13	34272	6	281	3	Views
20219	5339	1863	238	224	13	35061	2	126	2	Views
20220	5339	1863	238	224	13	35183	5	208	9	Views
20222	5339	1863	238	224	13	35487	3	191	0	Views
20225	5339	1863	238	224	13	39266	7	160	6	Views
20227	5339	1863	238	224	13	43096	1	112	3	Views
20228	5339	1863	238	224	13	44319	16	293	9	Views
20229	5339	1863	238	224	13	44471	1	46	2	Views
20232	5339	1863	238	224	13	46537	1	122	0	Views
20414	5429	1855	294	406	1	13151	0	586	0	Views
20418	5429	1855	294	406	1	13935	3	324	0	Views
20419	5429	1855	294	406	1	14140	9	2797	6	Views
20421	5429	1855	294	406	1	14364	1	337	5	Views
20422	5429	1855	294	406	1	15160	2	1206	0	Views
20428	5429	1855	294	406	1	17480	4	5250	2	Views
20433	5429	1855	294	406	1	18576	10	3521	4	Views
20445	5429	1855	294	406	1	21964	5	2413	5	Views
20447	5429	1855	294	406	1	22494	1	941	4	Views
20455	5429	1855	294	406	1	27830	7	1465	0	Views
20458	5429	1855	294	406	1	29241	10	697	9	Views
20459	5429	1855	294	406	1	30126	5	230	2	Views
20609	5509	1403	323	161	7	13458	2	2220	1	Views
20611	5509	1403	323	161	7	14444	3	655	2	Views
20612	5509	1403	323	161	7	14719	0	129	9	Views
20613	5509	1403	323	161	7	14721	7	788	2	Views
20614	5509	1403	323	161	7	15262	2	164	5	Views
20615	5509	1403	323	161	7	15303	2	1670	1	Views
20616	5509	1403	323	161	7	15730	3	525	8	Views
20624	5509	1403	323	161	7	16178	2	2080	6	Views
20628	5509	1403	323	161	7	22148	2	224	0	Views
20630	5509	1403	323	161	7	22842	2	201	1	Views
20631	5509	1403	323	161	7	22850	-1	1475	9	Views
20636	5509	1403	323	161	7	29479	5	1325	0	Views
20637	5509	1403	323	161	7	29981	9	2833	0	Views
20640	5509	1403	323	161	7	32040	6	588	5	Views
20644	5509	1403	323	161	7	38524	4	989	3	Views
20646	5509	1403	323	161	7	38591	4	155	5	Views
20647	5509	1403	323	161	7	38613	5	252	0	Views
20648	5509	1403	323	161	7	38904	1	142	2	Views
20650	5509	1403	323	161	7	40456	0	243	9	Views
20651	5509	1403	323	161	7	40506	1	156	1	Views
20653	5509	1403	323	161	7	40870	5	880	0	Views
20654	5509	1403	323	161	7	41074	2	739	1	Views
21015	5739	15236	2252	705	16	20543	13	1285	9	Views
21381	5836	11489	1319	683	18	14333	2	241	0	Views
21395	5836	11489	1319	683	18	14999	40	2146	6	Views
21396	5836	11489	1319	683	18	15000	1	198	0	Views
21397	5836	11489	1319	683	18	15001	2	117	6	Views
21421	5836	11489	1319	683	18	15489	2	397	0	Views
21452	5836	11489	1319	683	18	16889	14	3130	0	Views
21465	5836	11489	1319	683	18	17258	3	3199	7	Views
21467	5836	11489	1319	683	18	17603	9	226	2	Views
21471	5836	11489	1319	683	18	17850	11	162	8	Views
21490	5836	11489	1319	683	18	20520	14	2096	1	Views
21491	5836	11489	1319	683	18	20708	6	110	5	Views
21503	5836	11489	1319	683	18	23090	7	2328	2	Views
21517	5836	11489	1319	683	18	24903	3	378	7	Views
21525	5836	11489	1319	683	18	25814	4	82	6	Views
21526	5836	11489	1319	683	18	26164	3	185	3	Views
21528	5836	11489	1319	683	18	26346	4	3288	0	Views
21530	5836	11489	1319	683	18	27325	2	559	4	Views
21532	5836	11489	1319	683	18	27586	8	302	2	Views
21534	5836	11489	1319	683	18	27869	3	1785	0	Views
21535	5836	11489	1319	683	18	30496	4	458	0	Views
21544	5836	11489	1319	683	18	32519	6	350	3	Views
21548	5836	11489	1319	683	18	33664	7	553	5	Views
21550	5836	11489	1319	683	18	34414	4	192	9	Views
21551	5836	11489	1319	683	18	34610	5	565	5	Views
21554	5836	11489	1319	683	18	35414	14	344	3	Views
21555	5836	11489	1319	683	18	35905	3	652	7	Views
21559	5836	11489	1319	683	18	36345	10	515	0	Views
21563	5836	11489	1319	683	18	37732	8	1628	3	Views
21566	5836	11489	1319	683	18	38370	16	1735	0	Views
21567	5836	11489	1319	683	18	38616	12	542	6	Views
21577	5836	11489	1319	683	18	46964	3	963	3	Views
21579	5836	11489	1319	683	18	47676	6	328	6	Views
22006	6082	1815	265	106	3	15011	20	7663	2	Views
22015	6082	1815	265	106	3	15838	2	160	2	Views
22016	6082	1815	265	106	3	15900	10	1358	0	Views
22024	6082	1815	265	106	3	16946	5	1221	0	Views
22026	6082	1815	265	106	3	17109	22	3823	4	Views
22029	6082	1815	265	106	3	19864	3	459	1	Views
22031	6082	1815	265	106	3	22346	6	5350	3	Views
22042	6082	1815	265	106	3	33326	4	268	0	Views
22048	6082	1815	265	106	3	43755	4	84	1	Views
22053	6096	719	321	113	2	15021	4	2628	3	Views
22054	6096	719	321	113	2	15113	0	465	3	Views
22055	6096	719	321	113	2	15157	6	2163	3	Views
22056	6096	719	321	113	2	15168	3	712	3	Views
22057	6096	719	321	113	2	15228	1	1355	0	Views
22058	6096	719	321	113	2	15283	0	81	4	Views
22059	6096	719	321	113	2	15413	2	1203	3	Views
22060	6096	719	321	113	2	15463	2	1043	2	Views
22061	6096	719	321	113	2	15541	2	137	0	Views
22062	6096	719	321	113	2	15581	4	1780	1	Views
22063	6096	719	321	113	2	15584	2	782	6	Views
22064	6096	719	321	113	2	15593	-1	621	4	Views
22065	6096	719	321	113	2	15598	0	676	4	Views
22066	6096	719	321	113	2	15626	0	120	4	Views
22067	6096	719	321	113	2	15649	3	1175	6	Views
22068	6096	719	321	113	2	15662	-1	156	4	Views
22069	6096	719	321	113	2	15707	1	1878	0	Views
22070	6096	719	321	113	2	15739	3	234	3	Views
22071	6096	719	321	113	2	15740	1	73	0	Views
22072	6096	719	321	113	2	15749	3	10520	0	Views
22074	6096	719	321	113	2	15794	2	558	5	Views
22075	6096	719	321	113	2	15842	2	9195	3	Views
22076	6096	719	321	113	2	15981	5	14423	0	Views
22077	6096	719	321	113	2	15984	4	648	2	Views
22078	6096	719	321	113	2	16095	3	4798	0	Views
22079	6096	719	321	113	2	16235	4	310	0	Views
22080	6096	719	321	113	2	16264	6	217	0	Views
22081	6096	719	321	113	2	16467	5	5960	0	Views
22082	6096	719	321	113	2	16524	2	302	0	Views
22083	6096	719	321	113	2	16539	0	600	2	Views
22084	6096	719	321	113	2	16602	1	1163	4	Views
22085	6096	719	321	113	2	16689	13	4694	2	Views
22086	6096	719	321	113	2	16692	2	2462	0	Views
22087	6096	719	321	113	2	16756	0	757	0	Views
22089	6096	719	321	113	2	17167	1	4871	1	Views
22090	6096	719	321	113	2	17175	1	331	0	Views
22091	6096	719	321	113	2	17256	5	2827	2	Views
22092	6096	719	321	113	2	17349	3	7523	2	Views
22093	6096	719	321	113	2	17357	2	500	1	Views
22094	6096	719	321	113	2	17468	1	2642	2	Views
22096	6096	719	321	113	2	17628	1	2298	3	Views
22097	6096	719	321	113	2	17687	1	128	2	Views
22098	6096	719	321	113	2	17732	2	398	0	Views
22099	6096	719	321	113	2	17876	1	1126	0	Views
22100	6096	719	321	113	2	17976	2	183	0	Views
22101	6096	719	321	113	2	18378	2	301	1	Views
22102	6096	719	321	113	2	18403	0	176	2	Views
22103	6096	719	321	113	2	18447	1	210	1	Views
22104	6096	719	321	113	2	18510	-1	821	7	Views
22105	6096	719	321	113	2	18615	2	2608	3	Views
22106	6096	719	321	113	2	18633	0	2400	1	Views
22107	6096	719	321	113	2	18693	1	3503	8	Views
22108	6096	719	321	113	2	18752	1	454	4	Views
22109	6096	719	321	113	2	18848	2	2897	3	Views
22110	6096	719	321	113	2	18873	1	198	0	Views
22111	6096	719	321	113	2	18915	2	1280	0	Views
22112	6096	719	321	113	2	19022	-1	141	4	Views
22113	6096	719	321	113	2	19891	3	1064	3	Views
22114	6096	719	321	113	2	19903	-2	503	2	Views
22115	6096	719	321	113	2	19932	2	398	6	Views
22117	6096	719	321	113	2	20150	5	1116	0	Views
22118	6096	719	321	113	2	20151	3	402	2	Views
22119	6096	719	321	113	2	20435	0	4710	7	Views
22120	6096	719	321	113	2	20439	2	372	3	Views
22121	6096	719	321	113	2	20447	6	2878	0	Views
22122	6096	719	321	113	2	20722	0	263	0	Views
22123	6096	719	321	113	2	20907	1	155	4	Views
22124	6096	719	321	113	2	21229	2	765	1	Views
22125	6096	719	321	113	2	21237	10	5477	4	Views
22126	6096	719	321	113	2	21283	-1	540	2	Views
22127	6096	719	321	113	2	21595	2	276	2	Views
22128	6096	719	321	113	2	21658	0	177	2	Views
22129	6096	719	321	113	2	21727	1	445	0	Views
22130	6096	719	321	113	2	21747	1	559	5	Views
22131	6096	719	321	113	2	21831	2	406	0	Views
22132	6096	719	321	113	2	21854	2	2969	3	Views
22133	6096	719	321	113	2	21927	-1	1532	2	Views
22135	6096	719	321	113	2	22053	1	254	4	Views
22136	6096	719	321	113	2	22197	0	466	0	Views
22137	6096	719	321	113	2	23108	1	231	3	Views
22665	6489	511	356	33	3	16022	1	559	2	Views
22666	6489	511	356	33	3	16062	0	117	1	Views
22667	6489	511	356	33	3	16063	3	314	3	Views
22668	6489	511	356	33	3	16106	4	414	0	Views
22669	6489	511	356	33	3	16107	2	329	2	Views
22670	6489	511	356	33	3	16222	2	525	0	Views
22672	6489	511	356	33	3	16282	5	2603	3	Views
22673	6489	511	356	33	3	16489	8	522	2	Views
22674	6489	511	356	33	3	16492	1	99	4	Views
22675	6489	511	356	33	3	16497	2	139	3	Views
22677	6489	511	356	33	3	16709	3	2116	1	Views
22678	6489	511	356	33	3	16742	2	188	8	Views
22679	6489	511	356	33	3	16780	1	150	5	Views
22680	6489	511	356	33	3	16788	0	166	2	Views
22681	6489	511	356	33	3	17094	2	1347	1	Views
22682	6489	511	356	33	3	17112	1	200	2	Views
22683	6489	511	356	33	3	17320	7	329	6	Views
22684	6489	511	356	33	3	17367	1	145	4	Views
22685	6489	511	356	33	3	17407	12	360	10	Views
22686	6489	511	356	33	3	17510	-1	285	4	Views
22687	6489	511	356	33	3	19151	6	284	1	Views
22688	6489	511	356	33	3	19314	1	947	2	Views
22689	6489	511	356	33	3	19632	-4	157	0	Views
22690	6489	511	356	33	3	21115	4	81	2	Views
22691	6489	511	356	33	3	22336	4	178	2	Views
22692	6489	511	356	33	3	23032	0	368	8	Views
22693	6489	511	356	33	3	23072	4	523	4	Views
22694	6489	511	356	33	3	26804	1	104	7	Views
22695	6489	511	356	33	3	27387	3	139	2	Views
22696	6489	511	356	33	3	28980	2	136	7	Views
22774	6552	1453	241	111	3	26281	2	65	4	Views
22777	6552	1453	241	111	3	28760	8	445	2	Views
22778	6552	1453	241	111	3	40977	5	278	0	Views
22836	6597	194	538	4	0	26930	5	1108	1	Views
22837	6597	194	538	4	0	27069	5	189	0	Views
22838	6597	194	538	4	0	31150	1	76	0	Views
22839	6597	194	538	4	0	32125	6	1107	7	Views
22890	6633	9429	1534	167	88	18621	14	2289	2	Views
22907	6633	9429	1534	167	88	21141	8	659	1	Views
23402	6897	1178	334	454	27	17160	3	494	8	Views
23403	6897	1178	334	454	27	23146	2	340	4	Views
23405	6897	1178	334	454	27	23582	2	377	4	Views
23411	6897	1178	334	454	27	24212	0	131	1	Views
23414	6897	1178	334	454	27	24371	1	246	5	Views
23415	6897	1178	334	454	27	24912	2	207	1	Views
23416	6897	1178	334	454	27	25095	1	107	0	Views
23417	6897	1178	334	454	27	25101	2	124	0	Views
23418	6897	1178	334	454	27	25254	2	158	3	Views
23420	6897	1178	334	454	27	28495	1	172	0	Views
23421	6897	1178	334	454	27	28538	2	181	21	Views
23424	6897	1178	334	454	27	29083	3	183	4	Views
23425	6897	1178	334	454	27	30211	3	112	0	Views
23426	6897	1178	334	454	27	33649	2	164	0	Views
23430	6897	1178	334	454	27	34477	3	1354	0	Views
23431	6897	1178	334	454	27	34608	6	175	5	Views
23438	6897	1178	334	454	27	35140	1	69	0	Views
23440	6897	1178	334	454	27	35469	2	127	10	Views
23441	6897	1178	334	454	27	36249	3	108	3	Views
23442	6897	1178	334	454	27	38928	4	496	2	Views
23468	6920	1299	385	165	2	38276	3	490	0	Views
23470	6920	1299	385	165	2	41187	3	891	4	Views
23471	6920	1299	385	165	2	41746	4	212	0	Views
23472	6920	1299	385	165	2	41875	3	496	2	Views
23474	6920	1299	385	165	2	42969	1	265	7	Views
23478	6920	1299	385	165	2	44434	5	508	9	Views
23479	6920	1299	385	165	2	44506	6	353	0	Views
23480	6920	1299	385	165	2	44583	0	136	0	Views
23482	6920	1299	385	165	2	45178	1	29	0	Views
23483	6920	1299	385	165	2	45522	1	134	0	Views
23523	6961	2413	266	152	11	17581	14	1532	0	Views
23541	6961	2413	266	152	11	17991	7	317	0	Views
23552	6961	2413	266	152	11	20558	39	2756	1	Views
23555	6961	2413	266	152	11	27005	19	1046	7	Views
23570	6961	2413	266	152	11	32782	3	137	1	Views
23576	6961	2413	266	152	11	47484	2	79	0	Views
23577	6961	2413	266	152	11	48115	1	67	0	Views
23711	7071	7663	878	550	21	17576	1	98	7	Views
23712	7071	7663	878	550	21	19445	5	150	0	Views
23730	7071	7663	878	550	21	24388	5	195	8	Views
23733	7071	7663	878	550	21	24659	6	454	3	Views
23744	7071	7663	878	550	21	25774	1	154	0	Views
23748	7071	7663	878	550	21	26694	2	303	1	Views
23753	7071	7663	878	550	21	28012	0	137	4	Views
23775	7071	7663	878	550	21	38004	2	520	5	Views
23782	7071	7663	878	550	21	39129	1	54	0	Views
23788	7071	7663	878	550	21	40992	3	89	1	Views
23807	7071	7663	878	550	21	44532	5	70	6	Views
23814	7071	7663	878	550	21	45895	2	90	0	Views
23819	7071	7663	878	550	21	47916	5	255	4	Views
24051	7224	5430	1604	463	63	20870	5	335	3	Views
24082	7224	5430	1604	463	63	22787	15	707	6	Views
24094	7224	5430	1604	463	63	25529	10	444	0	Views
24104	7224	5430	1604	463	63	29616	13	520	12	Views
24181	7250	6216	338	625	56	26249	17	312	0	Views
24207	7250	6216	338	625	56	44957	2	460	4	Views
24263	7290	37083	5554	8641	125	18119	4	1218	4	Views
24552	7290	37083	5554	8641	125	38350	13	1041	3	Views
24581	7290	37083	5554	8641	125	41394	37	1235	3	Views
24615	7290	37083	5554	8641	125	46418	22	2870	0	Views
25312	7603	170	211	64	1	24960	1	219	8	Views
25313	7603	170	211	64	1	27329	2	68	2	Views
25314	7603	170	211	64	1	27389	2	287	0	Views
25317	7603	170	211	64	1	28930	4	192	2	Views
25540	7795	937	180	128	0	19342	1	113	1	Views
25541	7795	937	180	128	0	19344	0	934	3	Views
25542	7795	937	180	128	0	19403	1	1194	5	Views
25543	7795	937	180	128	0	19731	0	333	3	Views
25544	7795	937	180	128	0	21271	2	212	0	Views
25545	7795	937	180	128	0	22045	2	232	0	Views
25549	7795	937	180	128	0	22264	3	464	0	Views
25552	7795	937	180	128	0	22524	1	75	0	Views
25554	7795	937	180	128	0	22600	4	730	0	Views
25556	7795	937	180	128	0	23887	6	3266	0	Views
25558	7795	937	180	128	0	25306	2	339	0	Views
25559	7795	937	180	128	0	25327	1	58	0	Views
25560	7795	937	180	128	0	25381	0	275	12	Views
25561	7795	937	180	128	0	25583	4	148	2	Views
25563	7795	937	180	128	0	26024	2	1125	3	Views
25564	7795	937	180	128	0	26025	2	512	16	Views
25567	7795	937	180	128	0	27700	0	461	5	Views
25569	7795	937	180	128	0	28262	6	277	11	Views
25571	7795	937	180	128	0	28366	3	203	0	Views
25573	7795	937	180	128	0	29563	9	3382	3	Views
25574	7795	937	180	128	0	29636	2	2249	4	Views
25575	7795	937	180	128	0	29731	14	17113	6	Views
25578	7795	937	180	128	0	30114	6	208	3	Views
25579	7795	937	180	128	0	33028	10	961	4	Views
25580	7795	937	180	128	0	33197	21	3147	2	Views
25581	7795	937	180	128	0	43366	3	456	0	Views
25650	7828	8635	666	49	110	22502	24	2564	0	Views
25686	7828	8635	666	49	110	29876	7	177	2	Views
25693	7828	8635	666	49	110	30580	1	135	0	Views
25746	7828	8635	666	49	110	40384	24	1313	9	Views
25778	7828	8635	666	49	110	47325	12	1289	3	Views
25929	7972	11631	1050	1230	187	21002	3	1182	2	Views
25930	7972	11631	1050	1230	187	21139	1	847	1	Views
25972	7972	11631	1050	1230	187	22040	11	344	6	Views
26000	7972	11631	1050	1230	187	22768	20	710	3	Views
26041	7972	11631	1050	1230	187	25220	13	1200	13	Views
26231	8013	7972	662	108	6	20135	2	284	2	Views
26238	8013	7972	662	108	6	22989	3	745	0	Views
26253	8013	7972	662	108	6	27039	2	78	0	Views
26264	8013	7972	662	108	6	30710	5	223	2	Views
26268	8013	7972	662	108	6	31392	2	182	0	Views
26274	8013	7972	662	108	6	34464	5	629	0	Views
26292	8013	7972	662	108	6	47871	1	28	0	Views
26428	8076	4460	393	223	26	21153	16	946	2	Views
26441	8076	4460	393	223	26	23159	9	659	0	Views
26442	8076	4460	393	223	26	23238	9	1401	0	Views
26460	8076	4460	393	223	26	46164	5	139	4	Views
26496	8101	748	194	152	1	12526	1	252	2	Views
26497	8101	748	194	152	1	12573	3	1551	3	Views
26498	8101	748	194	152	1	13018	5	1235	2	Views
26499	8101	748	194	152	1	13070	1	169	0	Views
26502	8101	748	194	152	1	13262	2	4063	0	Views
26504	8101	748	194	152	1	13319	2	340	4	Views
26505	8101	748	194	152	1	13466	2	91	0	Views
26507	8101	748	194	152	1	13469	1	346	3	Views
26508	8101	748	194	152	1	13524	2	127	0	Views
26509	8101	748	194	152	1	13836	4	472	0	Views
26510	8101	748	194	152	1	13916	2	251	0	Views
26512	8101	748	194	152	1	14422	0	120	4	Views
26513	8101	748	194	152	1	14426	3	801	0	Views
26514	8101	748	194	152	1	14673	8	4630	2	Views
26515	8101	748	194	152	1	14679	1	734	2	Views
26519	8101	748	194	152	1	15352	3	485	0	Views
26521	8101	748	194	152	1	16327	4	2890	5	Views
26522	8101	748	194	152	1	17231	2	351	2	Views
26523	8101	748	194	152	1	17602	9	1418	0	Views
26524	8101	748	194	152	1	18607	5	456	7	Views
26525	8101	748	194	152	1	19328	1	1297	0	Views
26527	8101	748	194	152	1	19792	4	2078	4	Views
26529	8101	748	194	152	1	21715	1	185	0	Views
26530	8101	748	194	152	1	23746	2	460	1	Views
26531	8101	748	194	152	1	23747	1	251	0	Views
26532	8101	748	194	152	1	23763	6	965	0	Views
26533	8101	748	194	152	1	24170	1	271	4	Views
26534	8101	748	194	152	1	24193	5	1010	2	Views
26535	8101	748	194	152	1	25748	4	2876	0	Views
26536	8101	748	194	152	1	28541	8	268	10	Views
26537	8101	748	194	152	1	35332	2	148	1	Views
26708	8141	3008	330	350	24	20130	4	380	4	Views
26710	8141	3008	330	350	24	41267	4	193	2	Views
27112	8402	5564	1250	270	44	20747	3	204	2	Views
27118	8402	5564	1250	270	44	20806	10	2621	0	Views
27119	8402	5564	1250	270	44	20904	3	587	4	Views
27122	8402	5564	1250	270	44	21506	2	284	1	Views
27124	8402	5564	1250	270	44	21833	3	384	2	Views
27125	8402	5564	1250	270	44	22258	7	7677	0	Views
27126	8402	5564	1250	270	44	22271	3	218	1	Views
27128	8402	5564	1250	270	44	23935	5	674	3	Views
27130	8402	5564	1250	270	44	23983	3	4615	8	Views
27131	8402	5564	1250	270	44	24115	4	615	0	Views
27132	8402	5564	1250	270	44	24353	5	241	0	Views
27133	8402	5564	1250	270	44	24367	0	91	2	Views
27135	8402	5564	1250	270	44	24537	2	387	1	Views
27137	8402	5564	1250	270	44	25764	6	804	0	Views
27140	8402	5564	1250	270	44	25972	1	84	4	Views
27143	8402	5564	1250	270	44	26081	4	280	3	Views
27144	8402	5564	1250	270	44	26401	1	211	7	Views
27146	8402	5564	1250	270	44	26556	5	544	8	Views
27147	8402	5564	1250	270	44	26743	2	290	0	Views
27150	8402	5564	1250	270	44	26950	1	223	5	Views
27153	8402	5564	1250	270	44	27617	4	395	9	Views
27154	8402	5564	1250	270	44	27698	0	135	9	Views
27155	8402	5564	1250	270	44	27762	1	145	0	Views
27156	8402	5564	1250	270	44	28934	3	270	1	Views
27158	8402	5564	1250	270	44	29544	0	119	2	Views
27159	8402	5564	1250	270	44	29682	16	1002	16	Views
27161	8402	5564	1250	270	44	29906	2	583	0	Views
27162	8402	5564	1250	270	44	30013	4	219	6	Views
27163	8402	5564	1250	270	44	30059	7	663	3	Views
27165	8402	5564	1250	270	44	30797	7	502	0	Views
27166	8402	5564	1250	270	44	30868	2	407	5	Views
27167	8402	5564	1250	270	44	30870	2	1420	0	Views
27168	8402	5564	1250	270	44	30877	5	608	3	Views
27169	8402	5564	1250	270	44	30886	3	203	6	Views
27171	8402	5564	1250	270	44	31208	3	65	17	Views
27176	8402	5564	1250	270	44	32018	12	315	4	Views
27179	8402	5564	1250	270	44	33066	6	324	13	Views
27191	8402	5564	1250	270	44	35274	4	88	2	Views
27194	8402	5564	1250	270	44	35738	3	135	0	Views
27199	8402	5564	1250	270	44	36127	5	439	9	Views
27200	8402	5564	1250	270	44	36128	4	96	0	Views
27202	8402	5564	1250	270	44	37476	3	226	1	Views
27203	8402	5564	1250	270	44	37707	4	98	5	Views
27205	8402	5564	1250	270	44	38111	4	308	4	Views
27210	8402	5564	1250	270	44	40934	0	164	0	Views
27211	8402	5564	1250	270	44	41013	3	281	0	Views
27212	8402	5564	1250	270	44	41056	3	144	4	Views
27213	8402	5564	1250	270	44	41177	2	474	4	Views
27216	8402	5564	1250	270	44	41510	2	193	8	Views
27218	8402	5564	1250	270	44	43210	2	295	13	Views
27219	8402	5564	1250	270	44	43832	1	128	0	Views
27221	8402	5564	1250	270	44	44219	3	240	4	Views
27223	8402	5564	1250	270	44	44743	7	321	4	Views
27225	8402	5564	1250	270	44	46295	3	128	0	Views
27227	8402	5564	1250	270	44	46644	1	170	14	Views
27228	8402	5564	1250	270	44	46755	2	350	0	Views
27236	8402	5564	1250	270	44	47628	2	47	0	Views
27238	8402	5564	1250	270	44	48040	1	304	0	Views
27398	8507	5115	719	733	25	25836	5	407	0	Views
27418	8507	5115	719	733	25	31088	18	476	10	Views
27420	8507	5115	719	733	25	31679	24	952	5	Views
27593	8605	2526	462	497	15	21300	1	471	0	Views
27601	8605	2526	462	497	15	21437	1	136	0	Views
27610	8605	2526	462	497	15	21600	1	464	0	Views
27660	8605	2526	462	497	15	22653	15	3043	7	Views
27687	8605	2526	462	497	15	35537	3	950	0	Views
27915	8783	565	279	22	0	21815	2	1208	5	Views
27916	8783	565	279	22	0	22326	3	392	0	Views
27917	8783	565	279	22	0	22974	2	4045	4	Views
27918	8783	565	279	22	0	23281	0	306	9	Views
27919	8783	565	279	22	0	23346	2	440	1	Views
27920	8783	565	279	22	0	24416	5	3637	7	Views
27921	8783	565	279	22	0	24633	0	494	1	Views
27922	8783	565	279	22	0	24636	1	41	2	Views
27923	8783	565	279	22	0	24892	1	99	0	Views
27924	8783	565	279	22	0	26277	2	524	6	Views
27925	8783	565	279	22	0	27080	4	3044	6	Views
27926	8783	565	279	22	0	27313	4	944	3	Views
27927	8783	565	279	22	0	28454	0	72	2	Views
27928	8783	565	279	22	0	29400	1	1013	5	Views
27929	8783	565	279	22	0	29449	0	426	1	Views
27930	8783	565	279	22	0	29489	7	10769	3	Views
27931	8783	565	279	22	0	29522	1	369	1	Views
27932	8783	565	279	22	0	29573	3	672	6	Views
27933	8783	565	279	22	0	30970	5	729	2	Views
27934	8783	565	279	22	0	31080	0	80	3	Views
27935	8783	565	279	22	0	31108	2	414	6	Views
27936	8783	565	279	22	0	31690	3	3889	3	Views
27937	8783	565	279	22	0	31705	3	202	4	Views
27938	8783	565	279	22	0	31723	1	430	2	Views
27939	8783	565	279	22	0	31784	1	124	0	Views
27940	8783	565	279	22	0	31807	1	882	8	Views
27941	8783	565	279	22	0	31818	12	861	2	Views
27942	8783	565	279	22	0	32052	2	79	0	Views
27943	8783	565	279	22	0	32057	2	329	0	Views
27944	8783	565	279	22	0	32241	1	345	5	Views
27945	8783	565	279	22	0	32463	1	433	5	Views
27946	8783	565	279	22	0	32471	7	969	1	Views
27947	8783	565	279	22	0	32501	1	298	2	Views
27948	8783	565	279	22	0	32571	0	44	2	Views
27949	8783	565	279	22	0	33038	3	524	6	Views
27950	8783	565	279	22	0	33189	2	1879	4	Views
27951	8783	565	279	22	0	33190	-1	226	0	Views
27952	8783	565	279	22	0	41379	0	246	3	Views
27953	8783	565	279	22	0	43273	0	88	2	Views
28105	8927	1354	430	100	5	23068	11	369	5	Views
